Item,Qty,Reference(s),Value
1,2,"C1, C2",20pF
2,2,"C3, C4",0.1uF
3,1,C5,10uF
4,1,C6,DNI
5,1,J1,6500/1
6,1,J2,SERIAL
7,1,J3,+5V
8,1,J4,+10V
9,2,"J5, J11",GND
10,1,J6,SCOPE
11,1,J7,RESET
12,1,J8,EN_10V
13,1,J9,RST_LOW
14,1,J10,CLOCK
15,2,"Q1, Q2",2N3904
16,1,Q3,2N3906
17,2,"R1, R3",4.7K
18,1,R2,1K
19,3,"R4, R5, R7",10K
20,1,R6,30 Ohm
21,1,SW1,RESET
22,1,U1,ATmega644PA-P
23,1,Y1,16MHz
